# Dependencies for a3-modular-kalah-zhua687
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun May 16 20:50:33 NZST 2021
# Tool	mete-analysis(dependencies):20170202T1945
# System	a3-modular-kalah-zhua687
# Codebase	./submissions/a3-modular-kalah-zhua687/a3-modular-kalah-zhua687

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public <init>() {}	6	kalah.PlayerProp#private final kalah.Pits pitsTwo	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public <init>() {}	8	kalah.PlayerProp#private final kalah.Player playerOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public <init>() {}	15	kalah.PlayerProp#private final kalah.Player playerOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public <init>() {}	10	kalah.PlayerProp#private final kalah.Player playerTwo	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public <init>() {}	12	kalah.PlayerProp#private final kalah.Store storeOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public <init>() {}	14	kalah.PlayerProp#private final kalah.Store storeTwo	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.PlayerProp#public int[] pitArray(int) {}	0	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Return	Method	kalah.PlayerProp#public int[] pitArray(int) {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	Local	Method	kalah.PlayerProp#public int[] pitArray(int) {}	0,2	To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Local	Method	kalah.PlayerProp#public int[] pitArray(int) {}	1,3	To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public int[] pitArray(int) {}	2,7	kalah.Pits#public int getPitsLength() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public int[] pitArray(int) {}	4	kalah.Pits#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public int[] pitArray(int) {}	8	kalah.Pits#public int getSeedsInPos(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public int[] pitArray(int) {}	3,5,1	kalah.PlayerProp#private final kalah.Pits pitsOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public int[] pitArray(int) {}	6	kalah.PlayerProp#private final kalah.Pits pitsTwo	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.PlayerProp#public int returnStoreScore(int) {}	0	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Return	Method	kalah.PlayerProp#public int returnStoreScore(int) {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public int returnStoreScore(int) {}	2	kalah.Store#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public int returnStoreScore(int) {}	4,6	kalah.Store#public int getScore() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public int returnStoreScore(int) {}	1,3	kalah.PlayerProp#private final kalah.Store storeOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public int returnStoreScore(int) {}	5	kalah.PlayerProp#private final kalah.Store storeTwo	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.PlayerProp#public int returnPlayerScore(int) {}	0	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Return	Method	kalah.PlayerProp#public int returnPlayerScore(int) {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Player	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public int returnPlayerScore(int) {}	2	kalah.Player#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Player	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public int returnPlayerScore(int) {}	4,6	kalah.Player#public int getScore() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public int returnPlayerScore(int) {}	1,3	kalah.PlayerProp#private final kalah.Player playerOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public int returnPlayerScore(int) {}	5	kalah.PlayerProp#private final kalah.Player playerTwo	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Return	Method	kalah.PlayerProp#public int getCurrentPlayer() {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public int getCurrentPlayer() {}	1	kalah.PlayerProp#private int currentPlayer	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.PlayerProp#public void playerMoves(int) {}	0	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	void*		Primitive	Return	Method	kalah.PlayerProp#public void playerMoves(int) {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Local	Method	kalah.PlayerProp#public void playerMoves(int) {}	0,1,2,3,4	To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void playerMoves(int) {}	1	kalah.PlayerProp#public void assignObjects() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void playerMoves(int) {}	3	kalah.Pits#public int getSeedsInPos(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void playerMoves(int) {}	5	kalah.Pits#public int getPitsLength() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void playerMoves(int) {}	7,17	kalah.Pits#public void emptyPit(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void playerMoves(int) {}	10	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void playerMoves(int) {}	13	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void playerMoves(int) {}	15	kalah.Pits#public void incrementPit(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void playerMoves(int) {}	19	kalah.PlayerProp#public void swapPlayersTurn() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public void playerMoves(int) {}	18	kalah.PlayerProp#public boolean noSeeds	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void playerMoves(int) {}	2,4,6,8,11,14,16	kalah.PlayerProp#private kalah.Pits pits	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void playerMoves(int) {}	9,12	kalah.PlayerProp#private kalah.Store store	Private	None
kalah.PlayerProp	kalah	Class	public	boolean*		Primitive	Return	Method	kalah.PlayerProp#public boolean checkHouseEmpty() {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public boolean checkHouseEmpty() {}	1	kalah.PlayerProp#public boolean noSeeds	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.PlayerProp#public int returnSeedsPit(int,int) {}	0,1	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Return	Method	kalah.PlayerProp#public int returnSeedsPit(int,int) {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public int returnSeedsPit(int,int) {}	2	kalah.Pits#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public int returnSeedsPit(int,int) {}	4,6	kalah.Pits#public int getSeedsInPos(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public int returnSeedsPit(int,int) {}	1,3	kalah.PlayerProp#private final kalah.Pits pitsOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public int returnSeedsPit(int,int) {}	5	kalah.PlayerProp#private final kalah.Pits pitsTwo	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.PlayerProp#public void SetPlayerScores(int,int) {}	0,1	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	void*		Primitive	Return	Method	kalah.PlayerProp#public void SetPlayerScores(int,int) {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void SetPlayerScores(int,int) {}	2	kalah.Store#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void SetPlayerScores(int,int) {}	5,9	kalah.Store#public int getScore() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Player	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void SetPlayerScores(int,int) {}	6,10	kalah.Player#public void setPlayerScore(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void SetPlayerScores(int,int) {}	3	kalah.PlayerProp#private final kalah.Player playerOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void SetPlayerScores(int,int) {}	7	kalah.PlayerProp#private final kalah.Player playerTwo	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void SetPlayerScores(int,int) {}	1,4	kalah.PlayerProp#private final kalah.Store storeOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void SetPlayerScores(int,int) {}	8	kalah.PlayerProp#private final kalah.Store storeTwo	Private	None
kalah.PlayerProp	kalah	Class	public	void*		Primitive	Return	Method	kalah.PlayerProp#public void assignObjects() {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Player	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void assignObjects() {}	3	kalah.Player#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void assignObjects() {}	1	kalah.PlayerProp#private int currentPlayer	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public void assignObjects() {}	11,7	kalah.PlayerProp#private kalah.Pits pits	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void assignObjects() {}	6	kalah.PlayerProp#private final kalah.Pits pitsOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void assignObjects() {}	10	kalah.PlayerProp#private final kalah.Pits pitsTwo	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void assignObjects() {}	2	kalah.PlayerProp#private final kalah.Player playerOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public void assignObjects() {}	9,5	kalah.PlayerProp#private kalah.Store store	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void assignObjects() {}	4	kalah.PlayerProp#private final kalah.Store storeOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void assignObjects() {}	8	kalah.PlayerProp#private final kalah.Store storeTwo	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	Parameter	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	0	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	Parameter	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	1	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	2	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	void*		Primitive	Return	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Local	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	0,1	To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	1,6	kalah.Pits#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	3,12	kalah.Store#public void increaseStore(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	4,9	kalah.PlayerProp#public kalah.Pits switchPits(kalah.Pits) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	5	kalah.Pits#public int getPitsLength() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	8,11	kalah.Pits#public int getSeedsInPos(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	10,13	kalah.PlayerProp#public int getOppositePit(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	14	kalah.Pits#public void emptyPit(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	15	kalah.Pits#public void incrementPit(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void addExcessSeeds(kalah.Pits,kalah.Store,int) {}	7,2	kalah.PlayerProp#private int currentPlayer	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	0	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	Parameter	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	1	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	Parameter	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	2	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	boolean*		Primitive	Return	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Local	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	0,1,2	To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	1	kalah.PlayerProp#public int getOppositePit(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	2	kalah.Pits#public int getPitsLength() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	3,5,6	kalah.Pits#public int getSeedsInPos(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	4	kalah.PlayerProp#public kalah.Pits switchPits(kalah.Pits) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	7	kalah.Store#public void increaseStore(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public boolean checkCapture(int,kalah.Pits,kalah.Store) {}	8	kalah.Pits#public void emptyPit(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	void*		Primitive	Return	Method	kalah.PlayerProp#public void swapPlayersTurn() {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Player	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public void swapPlayersTurn() {}	3,5,8	kalah.Player#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public void swapPlayersTurn() {}	6,9	kalah.PlayerProp#private int currentPlayer	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void swapPlayersTurn() {}	1	kalah.PlayerProp#private int currentPlayer	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void swapPlayersTurn() {}	7,2	kalah.PlayerProp#private final kalah.Player playerOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public void swapPlayersTurn() {}	4	kalah.PlayerProp#private final kalah.Player playerTwo	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.PlayerProp#public int getOppositePit(int) {}	0	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Return	Method	kalah.PlayerProp#public int getOppositePit(int) {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	Parameter	Method	kalah.PlayerProp#public kalah.Pits switchPits(kalah.Pits) {}	0	To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	Return	Method	kalah.PlayerProp#public kalah.Pits switchPits(kalah.Pits) {}		To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public kalah.Pits switchPits(kalah.Pits) {}	1	kalah.Pits#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Player	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public kalah.Pits switchPits(kalah.Pits) {}	3	kalah.Player#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public kalah.Pits switchPits(kalah.Pits) {}	5	kalah.PlayerProp#private final kalah.Pits pitsOne	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public kalah.Pits switchPits(kalah.Pits) {}	4	kalah.PlayerProp#private final kalah.Pits pitsTwo	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Get	Method	kalah.PlayerProp#public kalah.Pits switchPits(kalah.Pits) {}	2	kalah.PlayerProp#private final kalah.Player playerOne	Private	None
kalah.PlayerProp	kalah	Class	public	int*		Primitive	Field	Field	kalah.PlayerProp#private int currentPlayer		To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	Field	Field	kalah.PlayerProp#private final kalah.Pits pitsOne		To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	Field	Field	kalah.PlayerProp#private final kalah.Pits pitsTwo		To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Player	kalah	Class	Field	Field	kalah.PlayerProp#private final kalah.Player playerOne		To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Player	kalah	Class	Field	Field	kalah.PlayerProp#private final kalah.Player playerTwo		To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	Field	Field	kalah.PlayerProp#private final kalah.Store storeOne		To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	Field	Field	kalah.PlayerProp#private final kalah.Store storeTwo		To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	Field	Field	kalah.PlayerProp#private kalah.Store store		To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	Field	Field	kalah.PlayerProp#private kalah.Pits pits		To whole module	Private	None
kalah.PlayerProp	kalah	Class	public	boolean*		Primitive	Field	Field	kalah.PlayerProp#public boolean noSeeds		To whole module	Public	None
kalah.Player	kalah	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.Player	kalah	Class	public	kalah.IGetID	kalah	Interface	Implements	Header			To whole module	Public	None
kalah.Player	kalah	Class	public	kalah.IGetScore	kalah	Interface	Implements	Header			To whole module	Public	None
kalah.Player	kalah	Class	public	int*		Primitive	Parameter	Constructor	kalah.Player#public <init>(int) {}	0	To whole module	Public	None
kalah.Player	kalah	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.Player#public <init>(int) {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.Player	kalah	Class	public	kalah.Player	kalah	Class	Put	Method	kalah.Player#public <init>(int) {}	2	kalah.Player#private final int PlayerID	Private	None
kalah.Player	kalah	Class	public	kalah.Player	kalah	Class	Put	Method	kalah.Player#public <init>(int) {}	3	kalah.Player#private int score	Private	None
